source,author,title,review_text,rating,bank
Google,Muhammad Asif,,super Service and best Bank .,5,Bank Dhofar
Google,BILAL KHAN,,my app is not working automatically stops. what is the issue.,2,Bank Dhofar
Google,ali ali,,good,3,Bank Dhofar
Google,Salim Al Hajri,,"It's stuck and not able to open the app. It's so useless and very inconvenient . Always, there's a glitch",1,Bank Dhofar
Google,Sam Kigozi s.,,"I changed phones and I have called the customer service team but they have not helped they say i reinstall app, which i have done twice but can't work. so for several days i cant transact. its awful",1,Bank Dhofar
Google,Imran Jutt,,sir please Also include the method for changing the mobile number. add your mobile app,2,Bank Dhofar
Google,Muzaffar Jamil,,there should be an option to update mobile number,4,Bank Dhofar
Google,Fariborz Mansour-Ghanaei,,This application has problems such as freezing and not being able to log in easily.,5,Bank Dhofar
Google,Sharif Rocke,,Nice,5,Bank Dhofar
Google,Pintu Sheikh,,very good,4,Bank Dhofar
Google,Sourav Barua,,nice one👍,5,Bank Dhofar
Google,Haider Al Lawati,,Great Bank and App!,5,Bank Dhofar
Google,GURUDAS SHANBHAG,,superrrrrr,4,Bank Dhofar
Google,Abdul Jabbar,,Excellent,5,Bank Dhofar
Google,Muhammad Murshid,,Not working,1,Bank Dhofar
Google,Odiaka Uzorka,,Very nice app,5,Bank Dhofar
Google,Osam Alawi,,"OTP received after 3 to 5 minutes and sometimes never If you do transactions over the weekend(eg from Bank Muscat to SIB via IBFT) Account never updated many other issues.. with this bank Hence go from worst to bad, try Bank Muscat",1,Bank Dhofar
Google,Amr Abulmaged,,"The bank app has new features I'm not recommended at all. Don't ever think of using the app for flight booking. That's my experience. Took almost a week to get a ticket, even the payment done immediately after submission. Awful experience",1,Bank Dhofar
Google,Fakrul Islam,,Good,5,Bank Dhofar
Google,sreekutty t.s,,"Am satisfied with app, especially international &gcc transaction but cannot make payment to the nri account",5,Bank Dhofar
Google,XAVIER MARIYADAS,,EXLANNT,5,Bank Dhofar
Google,Shaikh Mohammad Nadeem,,Great and so easy to work and any transaction I loved it,5,Bank Dhofar
Google,Hamburg Castle,,This is great apps and bunk,5,Bank Dhofar
Google,MAHENDRAN SEEMAAN,,Still lot of issues facing this app! Even debit card show bad card! Wrost experience then ever!,1,Bank Dhofar
Google,Zunair Jutt,,Nice,5,Bank Dhofar
Google,Deepu krishna K,,"I cant transfer fund to india, option for india in beneficiary is not showing",1,Bank Dhofar
Google,om prakash,,excellent service 💯,5,Bank Dhofar
Google,ayub raja,,Very good,5,Bank Dhofar
Google,ROMMAN AHMED,,Good,5,Bank Dhofar
Google,Shahnoor Mehr,,Excellent Banking,5,Bank Dhofar
Google,Raees Pcv,,Good app,5,Bank Dhofar
Google,Sourav,,"Initially the service was good to grasp customers. But recently it is noted that they are recruiting under experienced staffs for customer service who don't or unable to answer most of the queries. The response they provide is raise it in the App and it will be resolved. When I raise it app, I get a response contact the bank for support. If this is the response for every query is raise then what is the requirement to have a customer service???",2,Bank Dhofar
Google,Rashid Ali,,Good,3,Bank Dhofar
Google,Islampur Gaibandha,,"It's very bad experience, When i gonna opn the apps it's automaticly crush.",3,Bank Dhofar
Google,Mohamed Hassan Soorow,,I'm interested,5,Bank Dhofar
Google,Khalid Al Maamari,,"Great app saves me a lot of time, and I can do all banking services through it.",5,Bank Dhofar
Google,Basharat Ali,,Good service,5,Bank Dhofar
Google,Harikeshsingh Yadav,,Very good app and banking sohar international best in Oman okay 👍,5,Bank Dhofar
Google,Mohammad Rasal,,Verry good sarvice,5,Bank Dhofar
Google,MR nowshad khan,,Good,4,Bank Dhofar
Google,HARI NAIK,,very much disappointing services,1,Bank Dhofar
Google,Hamid Khan,,This is very good application,5,Bank Dhofar
Google,ja3fer ja3fer,,سئ جدا,1,Bank Dhofar
Google,Omani Omani,,Very professional and easy to use. Thanks Sohar international bank 👍🏻,5,Bank Dhofar
Google,Seyed Mostafa Sekhavati,,"Good appearance but lots of problem. For example: you can't delete any beneficiary, if try for that you would drop on a awful loop with no consequences.",2,Bank Dhofar
Google,Abu Qabis Trading,,Best bank,5,Bank Dhofar
Google,Mohamed Daha,,Very satisfied sohar international bank,5,Bank Dhofar
