source,author,title,review_text,rating,bank
Google,Mohammad Rasal,,Verry good sarvice,5,Sohar International
Google,MR nowshad khan,,Good,4,Sohar International
Google,HARI NAIK,,very much disappointing services,1,Sohar International
Google,Hamid Khan,,This is very good application,5,Sohar International
Google,ja3fer ja3fer,,سئ جدا,1,Sohar International
Google,Omani Omani,,Very professional and easy to use. Thanks Sohar international bank 👍🏻,5,Sohar International
Google,Seyed Mostafa Sekhavati,,"Good appearance but lots of problem. For example: you can't delete any beneficiary, if try for that you would drop on a awful loop with no consequences.",2,Sohar International
Google,Abu Qabis Trading,,Best bank,5,Sohar International
Google,Mohamed Daha,,Very satisfied sohar international bank,5,Sohar International
Google,Sensei Kumar,,Everywhere free transfer,4,Sohar International
Google,kumar,,Very bad app and worst customer service,1,Sohar International
Google,Grandpower Amrat,,It's better system to fast,5,Sohar International
Google,Afroz Siddque,,Good app,5,Sohar International
Google,Said Al-Naamani,,Keep it up bank sohar and good luck,5,Sohar International
Google,Riaz Abdul,,"The app gets hanged very frequently, even after updating many times.",2,Sohar International
Google,Bright Bennett,,Practical,5,Sohar International
Google,Haris Muccadam,,Amazing app Very easy to use 👌 !,5,Sohar International
Google,Jamil Alriyami,,Not stable,2,Sohar International
Google,Masoud Alghaithi,,"The best available, genuinely unique level",5,Sohar International
Google,El King Maged,,Nice App,5,Sohar International
Google,Md jakir Hossain,,Nice,5,Sohar International
Google,Mohammed Abdallah,,Too much time taking to verify installing process.,1,Sohar International
Google,Mbrpakquriyat,,Good luck,5,Sohar International
Google,Mejbah Sagor,,nice,5,Sohar International
Google,Nawazish Ali,,Nawazish Asi good service,5,Sohar International
Google,Arman Arman,,Alhamdulillah good app,5,Sohar International
Google,Salim Man,,تحسن التطبيق بشكل كبير فقط فيه توجد مشكلة بسيطة عند تسجيل الخروج التطبيق يتوقف عن العمل,4,Sohar International
Google,Rashid KV,,APPLICATION IS NOT OPENING AT ALL....,1,Sohar International
Google,Mohammed Imran,,Nice,5,Sohar International
Google,Irshad ansari,,Sohar international is very good bank,5,Sohar International
Google,ALAM JAHANGIR,,Very good Mobile banking ❤️❤️❤️🌹🌹🌹💝💝💝,5,Sohar International
Google,Jabed Vai,,Nice App,5,Sohar International
Google,Wajid Mohammed,,"The new app is useful, but after making each payment, it will not be responsive unless you re login again.",4,Sohar International
Google,Krishna Moorthy,,Good,5,Sohar International
Google,Muhammad Haris,,Amazing app,5,Sohar International
Google,A. Malik Al Balushi,,Perfect banking,5,Sohar International
Google,Sharin Shahin,,Very good,5,Sohar International
Google,sanjay shah,,Superb 👌👌👍👍,5,Sohar International
